,제목,가수,가사
0,Love wins all,아이유,"Dearest, Darling, My universe
날 데려가 줄래?
나의 이 가난한 상상력으론
떠올릴 수 없는 곳으로

저기 멀리 from Earth to Mars
꼭 같이 가줄래?
그곳이 어디든, 오랜 외로움
그 반대말을 찾아서

어떤 실수로
이토록 우리는
함께일까

세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um

부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Love is all Love is all
Love Love Love Love

결국, 그럼에도,
어째서 우리는
서로일까

세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um

찬찬히 너를 두 눈에 담아
한 번 더 편안히 웃어주렴

유영하듯 떠오른
그날 그 밤처럼,
나와 함께 겁 없이
저물어줄래?

산산히 나를 더 망쳐 Ruiner
너와 슬퍼지고 싶어 My lover

필연에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
일부러 나란히 길 잃은 우리 두 사람

부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Our Love wins all Love wins all
Love Love Love Love"
1,밤양갱,비비 (BIBI),"떠나는 길에 니가 내게 말했지
‘너는 바라는 게 너무나 많아
잠깐이라도 널 안 바라보면
머리에 불이 나버린다니까’
나는 흐르려는 눈물을 참고
하려던 얘길 어렵게 누르고
‘그래 미안해’라는 한 마디로
너랑 나눈 날들 마무리했었지

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

떠나는 길에 니가 내게 말했지
‘너는 바라는 게 너무나 많아’
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

상다리가 부러지고
둘이서 먹다 하나가 쓰러져버려도
나라는 사람을 몰랐던 넌

떠나가다가 돌아서서 말했지
‘너는 바라는 게 너무나 많아’
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱"
2,첫 만남은 계획대로 되지 않아,TWS (투어스),"Ay ay ay ay ay

거울 속에 내 표정 봐 봐
느낌 So good 기다려온 D-day
연습했던 손든 인사도 그대로 하면 돼
Hairstyle check하고 한 번 Turn around

발걸음은 매일 걷던 그 길로
계획은 완벽
빨리 말 걸어보고 싶어, Hey

Woo 문 앞에서 셋을 세어본다, Yeh

(셋, 둘, 하나)

첫 만남은 너무 어려워
계획대로 되는 게 없어서
첫 만남은 너무 어려워
내 이름은 말야

Hey,
안녕, 첫 마디를 건넬 때
주변 소린 Canceled
네 말소리는 Playlist

Yeh,
질문은 나의 용기, 알려줘 너의
“이름이 뭐야?”

너와 내 거리는 세 걸음 남았어, Yeh

(셋, 둘, 하나)

첫 만남은 너무 어려워
계획대로 되는 게 없어서
첫 만남은 너무 어려워
내 이름은 말야

이 순간, Feels so wonderful
조금은 뚝딱거려도
어색한 인사까지도
너와 나의 첫 만남

우리의 사이 Beautiful
내일도 내일모레도
기억해, 영원히 반짝일 순간

Wait wait!

Na na na-

이렇게 만나서 반가워
내일 또 봐 안녕"
3,Shopper,아이유,"아직도 난
더 가지고 싶어
(Yeah I want more
I’ll get it more, more)

설레는 게
이렇게나 많은 걸
(Oh I want all
I must have all, all)

저녁 일곱시
노을의 팔레트
(I need it, course
I’ll take it, course, course)

가슴 터질 듯
내 이름을 외치는 목소리
(Oh it’s so worth
It’s more than what, what)

빼곡히 적은 wish list
빠짐없이 가질 때까지
(Take what you want
No matter who calls you a freak)

설명할 필요 없어
나 그때와는 다른 걸 원해, 원해

Let’s go haul
더 미어터질 만큼 다 채워
Look around
시간은 짧아 더 빨리 가져
(Shop all day, ay
Greed is free, ay)

Go Make your own
가지러 태어난 것처럼
이 샵은 문 닫지 않아 늘, 영원히

마지막 소절 숨의 첫 모금
(It's time to show
Go, make it sure, sure)

승리를 앞둔
마음이 달릴 때 내는 소리
(It's time to go
I'll make my goal, goal)

내게는 없어 plan B
모조리 내 것이 될 때까지
(Take what you want
No matter who puts down you‘re greed)

적당히로는 안돼
난 훨씬 더 대담한 걸 원해, 원해

Let’s go haul
더 미어터질 만큼 다 채워
Look around
시간은 짧아 더 빨리 가져
이 샵은 문 닫지 않아, 봐

필요 없는 건 없어
for my Victory, even your jealousy
나 이제껏 모르던 세상을 욕심 내볼래

Let’s go haul
더 미어터질 만큼 다 채워
Look around
시간은 짧아 더 빨리 가져

Shop all day, ay
Greed is free, ay

Go Make your own
가지러 태어난 것처럼
이 샵은 문 닫지 않아 늘, 영원히"
4,To. X,태연 (TAEYEON),"처음 본 널 기억해
We skipped the small talk
바로 다음 단계였지 뭐
단점이라곤 없는 게 단점이라던
그 허세도 마냥 좋았어

하지만 내 일기가
재미없어진 이유
내가 없어진 나의
매일들은 허전해

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

그 좋아했던 립스틱
싫단 말에 버린
널 좋아했던 만큼
다 맞추려 했어

‘나 아님 누가
그런 세상 안아주겠어’
그 말이 그땐 그리
달콤했던 거야 Oh no

새벽의 긴 통화도
이젠 피곤해졌어
Every day, every night
나로 채우고 싶어

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

Gonna block you
불을 꺼 To. X

Say Bye
Gonna block you
불을 꺼 To. X

깜빡거리는
흔들거리는 Light
Gonna block you
불을 꺼 To. X

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
(너만 보일까)
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
(이제 불을 꺼)
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

Gonna block you
불을 꺼 To. X"
5,비의 랩소디,임재현,"이젠 눈물 그쳐 나를 봐요
우는 그대 더 아름다워
내게 이 모습조차 더 남지 않도록
그냥 고개 돌려요
그저 미안한 마음뿐이죠
그댈 위해 해줄 게 없어
모두 이해할게요 그댈 아끼는 맘
그분들도 같을 거란 걸

한참 동안을 비틀거렸죠
그댈 사랑했던 그만큼
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요

나를 위해 많이 애썼단 걸
알고 있죠 난 감사해요
허나 이룰 수 없는 건 어쩔 수 없죠
내가 용기 낼게요 이젠
죽는 날까지 사랑한대도
가질 수 없는 그대인걸

떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요

떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
혹시라도 내가 그리울 때면
세상에 내가 없다고 믿어요"
6,홀씨,아이유,"내가 누울 자린 아마도
한참 더 위로
아니 적당히 미끈한 곳에
뿌리내리긴 싫어

내 뒤로 착착 따라붙어
다 예쁘게 줄지어
난 기어코 하늘에 필래
음, What a tiny leader

아슬아슬히 나는
홀씨 하나 또 다른
길을 향해서
Fly high to bloom
혹시 나의 안부를
묻는 누군가
있거든 전해줘

걔는 홀씨가 됐다구

날 따라, gonna go to win
날 따라, 날아가 꼭대기루
You say '후‘
I may fly
You say '후‘
Then i fly

날 따라, Even without wings
날 따라, 떠올라 공중으루
You say '후‘
I may fly
You say '후'
Then i fly

다 날 볼 수 있게 날아 줄게 한가운데
시력을 위해 꼭 지참해 니 sunglass
올려보면 눈부셔
고소공포 하나도 안 무셔

따가운 태양과 무지 가까운 거리
까지 올라가 난 무심히 내려보리
구름을 골라타
간만에 한바탕
싹 어질러볼까

빙글빙그르 나는
홀씨 하나 가파른
바람을 타고
Fly high to bloom
혹시 나의 안부를
묻는 누군가
있거든 전해줘

걔는 홀씨가 됐다구
날 따라, gonna go to win
날 따라, 날아가 꼭대기루
You say '후‘
I may fly
You say '후‘
Then i fly

날 따라, Even without wings
날 따라, 떠올라 공중으루
You say '후‘
I may fly
You say '후'
Then i fly

앞길이 만만치 않아도
엄살은 뒤로
내 선택이야 늘 그랬듯이
쉬울 확률은 zero

남은 거 탈탈 털어줄게
모두 행운을 빌어

구태여 인사하고 갈래
May god be with ya
See ya"
7,Love 119,RIIZE,"1 2 Let’s go

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

너는 마치 Flashlight
자꾸만 시선을 뺏겨
많은 사람 속에서
순간 너만 보였어
다들 말하지
Love is so sweet
아직 난 뭔지 모르겠지
Right now

처음 느낀 이상한 떨림
이건 진심 I’m not kidding
친구이기엔 더
Deeper deeper deeper
어쩌면 Love song yah

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

이상해 나 What do I do
너에 관한 건 뭐라도
신경 쓰여 난 All day
넌 만들어 My day
이 감정은 Someday
난 알고 싶어
귓가에 울린
Love is so sweet
멈출 수 없이
빠져버린 나야

네가 자꾸 궁금해 왜지
말도 안 돼
I’m not kidding
시간이 갈수록
깊어 깊어 깊어져
가는 나잖아

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

이건 뭘까
You know what I’m talking about
왜 이렇게
나의 맘이 어지러운 걸까
이 모든 게
내가 널 좋아하는 건가
난 그럼 더 이상
끌고 싶지 않아
다른 건
Nothing but
I want it all with you

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)"
8,에피소드,이무진,"나는 말야
버릇이 하나
있어 그건 매일 잠에 들 시간마다
잘 모아둔 기억 조각들 중
잡히는 걸 집은 후
혼자 조용히 꼬꼬무

이걸 난
궁상이란
이름으로 지었어 고민 고민하다가
아무튼 뭐 오늘은 하필이면
너가 스쳐버려서
우리였을 때로
우리 정말 좋았던 그때로

우리의 에피소드가
찬란하게 막을 연다
배경은 너의 집 앞
첫 데이트가 끝난
둘만의 에피소드가
참 예쁜 얘기로 시작
자작자작 조심스런 대화
그새 늦은 시간

굿바이
좋은 뜻일 뿐인 굿바이
With a happy smile
이게 이 스토리의 서막
눈 내리던 그 밤
겨울 향이 배어서
더 눈부신
우리의 에피소드다

매일이 마지막인 듯이
함께라면 어디든지
사랑이란 걸 끝도 없이
주고받고 나눴어 그치?
서로만 있음 마음이
시릴 날이 없던 우리
넌 오아시스 내겐 마치

근데 있잖아
별 소용없다?
생각만 해도 행복한 순간들은 말야
모른 척해도 결국엔 이건
끝을 봤던 에피소드
점점 점점 점점

우리의 에피소드가
결말에 가까워져가
곧 새드 엔딩이다
크레딧엔 너와 나
둘만의 에피소드가
참 쓸쓸한 끝을 맞아
두 주인공의 서글픈 마지막
결국 건넨 인사

굿바이
너무 아픈 이별의 굿바이
눈물이 뺨을 스쳐
도착한 입가엔 미소
애써 웃고 있어
우린 서로를 보며
첨 같던 미소로 안녕
웃으며 안녕

눈 뜨면 에필로그다
침대에 기대어 혼자
펑펑 울고 있는 나
이 궁상 밖의 난
둘만의 에피소드완
전혀 다른 모습 난 그날
돌아서지 말았어야 했다
널 안았어야 했다

그 밤
눈꽃이 널 덮은 그 밤의
향을 잊음과
함께 잃었던 따스함
춥게 눈을 뜬다
겨울밤이 되어서
맞이한 향이
우리의 에피소드다"
9,Perfect Night,LE SSERAFIM (르세라핌),"Me and my girlies
We gon party til its early
Got me feeling otherworldly tonight
Caught in some traffic
But the radio is blasting
Drop a red light and we’ll sing it goodbye
Ooh
By the morning, feel like magic
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight
Come and take a ride with me
I got a credit card and some good company
Some come through
Make the fit real good
Why you still stuck on loading
Waiting on you babe
Ooh
Night to morning, live slow motion
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight
Ooh
By the morning, feel like magic
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don't care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
Don’t start blowing up my line"
10,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"날 사랑해서 떠난다며
눈물짓던 그대의 말을 믿을 수 없죠
하지만 나의 전부였던
그대가 힘들어하기에 잡을 수 없었죠

온통 너와의 기억뿐인
나를 위해서였다면
조금씩 무너져가는 날
날 위한다면

이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면

함께 웃던 시간들을
함께했던 약속들을
지금 또 영원히 기억하겠어요
다시 한번 생각해요
무엇이 날 위한 건지
그대는 알고 있어요

영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면

온통 그대의 생각뿐인
나를 위해서였다면
초라하게 쓰러지는 날
날 위한다면

이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면

영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면"
11,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,"It's not about F (F)
not about L (L)
We got something else

뒷짐을 진채
따라갈래
그녀의 긴 발자국

서로를 이어 (서로를 이어)
How special we are (special we are)

그 존재감에
입을 다무네
영원히 날 앞서는
그 이름은 Shh...

음 아마 첫사랑이지
또한 내 첫 세상
뚫어져라 무언가
바라보는 시선 역시
같은 눈동자를 가진 그녀를
닮아서일까

음 즐거운 악몽이지
우리는 시소에 올라
또 오르락내리락
도통 이해가 안 되는 일이지
유쾌하지 않은 꿈에서까지
널 보며
왜 웃고 있을까

It's not about F (F)
not about L (L)
We got something else

굵고 까맣게 (F)
땋은 양갈래 (L)
이야길 담은 입술

서로를 이어 (서로를 이어)
How special we are (special we are)

참 시시하게 (F)
혹은 비범하게 (L)
한 조각씩 내어준
그 이름은 Shh..

옷자락 휘날리던 등장에 대하여
(Salute)
그보다 꼿꼿하던 퇴장을 향하여
빛에 맞서던 순간도
빛을 등지던 순간도 음음
내내 자신답던 그녀를 위하여

멈춘 적 없는
오랜 혼잣말처럼
나의 시간 어딘가 영원히
풀리지 않는 암호 같은 그녀들에게

It's all about F (F)
All about L (L)
We got something else

난 마주할래 (F)
오랜 감정에 (L)
이름을 붙일 자유

서로를 이어 (서로를 이어)
How special we are (special we are)

끝내 재가 될 때 (F)
까지 내 안에 (L)
빨갛게 숨 타오를
그 이름은 Shh..

여기
낡은 이야기 하나 있죠
모두가 다 아는, 그러나 또 모르는
그 이름은 Shh.."
12,EASY,LE SSERAFIM (르세라핌),"다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy
Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy

Clap your hands, 너도 나와 같다면 clap your hands now
의구심 따윈 그냥 치워, 그냥 말해 “I’m the real one”

조명 꺼진 뒤의 난 wander in the night
Don’t know what is right, don’t know ‘bout my rights
시기심, 의심, 불신, 이젠 friends of me, yuh
세상에게 난 반쪽짜리 seraphim, yuh

Uhm I’ve been tryin’ so long to show you show you show you
I’m the one that you need

다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy
Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy

Yah know that I make it look easy
수면 위의 백조가 돼 whippin’
때론 풀려, 나의 다리 but I keep it
Get, set, go, come and see me, I’m the FEARLESS

나의 발걸음은 매 순간 history, 이건 my way
영웅처럼 걸어 even if I am not flawless
편하게만 왔다고?
날 몰라봤다면 you have to know

Uhm I’ve been tryin’ so long to show you show you show you
I’m the one that you need

다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy

Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy"
13,Drama,aespa,"Ya Ya I’m the Drama
Ziggy ziggy zag I’m new
'Cause I go biggie biggie bad It’s true
날카로운 눈 안에 비친 Toxic
내 본능을 당겨 Zoom
Hold up, What? Oh my god
You say, What? 다쳐 넌
You better watch out
우린 이미 거센 Boom
달려가고 있어 Vroom
I li-li like me when I roll
Li-li-like me when I’m savage
Li-li-like me when I go
Li-li-likie when I baddest
Hold up 빛을 따라서
달아 다 다 달려나가 Run
Go Finally Ra ta ta ta
다음 세계를 열어 난
1, 2 It’s time to go
후회 없어 난
맞서 난 깨버렸지
날 따라서 움직일 Rules
손끝으로 세상을 두드려 움직여
Yeah I’m coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
(All that)
Drama-ma-ma-ma
(Bring it that)
Drama-ma-ma-ma
With my girls in the back
Girls in the back Yeah
I break
Trauma-ma-ma-ma
(We them)
Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Drama-ma-ma-ma
Drama-ma-ma-ma (3, 2, 1)
Drama-ma-ma
You know I’ve been kind of like
1, 2, 3 깜짝 놀랄 다음 Scene
키를 거머쥔
주인공은 나
4, 3, 2 Going down
쉽게 Through
Deja Vu 같이
그려지는 이미지
날 굳이 막지 말아
이건 내 Drama
도발은 굳이 안 막아
Uh I’m a stunner
1, 2 It’s time to go
타오르는 날 (타는 날)
느껴 난 And I love it
새로워지는 Rules
난 눈을 떠 (두 눈을 떠)
시작된 걸 (넌) 알아 (Now)
It’s coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Into the REAL WORLD
다가온 Climax
두려워하지 마
You and I
함께 써 내려가는 Story
날 가로막았던 No
한계를 뛰어 넘어 Every day
Oh Imma make it my way
Out of the way Yeah
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나와 함께하는 Drama
(All that)
You know, I’m savage
거침없는 Baddest
나를 둘러싼 Thrill
거친 여정 속의 Drama
(Drama-ma-ma)
내가 깨트릴 모든 Trauma
(Drama-ma-ma)
지금 시작되는 Drama
Ya Ya 너로 시작될 MY Drama"
14,Super Lady,(여자)아이들,"I am the top, super lady (Oh)
I never lose yeah
(’Cause got a super power)
I am a god, super lady (Oh)
I NEVER DIE 봤지? 모두 Follow

Boy boy boy 거기 비켜 어서
우린 Love love love 따위 하긴 바빠
여긴 War war war 자비 따윈 없어
날 막는다면 Slay it (Lock it)

남자들의 뻔한 가식 (Drop it)
억 소리 나는 그 사치
영웅은 조금의 흔들릴 틈 없이
Ready to shoot

입술이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
웃어 보이지 더 거칠게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies
하나 둘 셋

Mama said 넌 언젠가 세상을 망칠 악
그 겁에 질린 눈빛도 참 못됐으니까

그 눈빛은 패왕색 패기 여왕의 자질 The Baddie
100이면 100이 다 기절한 각성에 겁먹은 Devil
그래 뵈는 게 없거든 Do you know?

불길이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
뛰어들 테지 더 뜨겁게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies

Let’s go on fearless
We came to take a win

Back it up (Oh)
Back it up (Oh-oh)
Back it up (Oh)
Back it up
Everybody say

누가 우릴 부른다면 Yes sir, super fast
누가 우릴 막는다면 Yes sir, supernatural
누가 봐도 우린 Yes, stronger than Superman
Yes sir, I got super power
Yes sir, I’m a"
15,헤어지자 말해요,박재정,"헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게
좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가
당신을 영원히 사랑할 테니"
